year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2006,lacrosse,girls,Overall,Tower Hill,Wiz Applegate,Saint Mark's,19,8,,
2005,lacrosse,girls,Overall,St. Andrew's,Sarah Commito,Cape Henlopen,14,9,,
2004,lacrosse,girls,Overall,St. Andrew's,Sarah Commito,Caesar Rodney,20,5,,
2003,lacrosse,girls,Overall,St. Andrew's,Sarah Commito,Tower Hill,12,6,,
2002,lacrosse,girls,Overall,St. Andrew's,Sarah Commito,Brandywine,17,5,,
2001,lacrosse,girls,Overall,Tower Hill,Wiz Applegate,Brandywine,10,8,,
2000,lacrosse,girls,Overall,Tower Hill,Wiz Applegate,St. Andrew's,7,5,,
1999,lacrosse,girls,Overall,St. Andrew's,Mel Bride,Wilmington Friends,8,7,,
1998,lacrosse,girls,Overall,St. Andrew's,Mel Bride,Wilmington Friends,11,8,,
2025,basketball,girls,Overall,Caravel,Larry Banks,St. Elizabeth,53,37,,
2024,basketball,girls,Overall,Ursuline,John Noonan,Caravel,49,48,,
2023,basketball,girls,Overall,Sanford,Marcus Thompson,Ursuline,58,46,,
2022,basketball,girls,Overall,Caravel,Kristin Caldwell,Sanford,53,47,OT,
2021,basketball,girls,Overall,St. Elizabeth,Dan Cooney,Sanford,47,45,,
2020,basketball,girls,Overall,,,,,,,
2019,basketball,girls,Overall,Sanford,Marcus Thompson,Caravel,51,49,,
2018,basketball,girls,Overall,Conrad,John Kulesza,Caravel,49,46,OT,
2017,basketball,girls,Overall,Ursuline,John Noonan,Caravel,54,32,,
2016,basketball,girls,Overall,Ursuline,John Noonan,Sanford,39,34,,
2015,basketball,girls,Overall,Ursuline,John Noonan,Caravel,53,41,,
2014,basketball,girls,Overall,Sanford,Marcus Thompson,St. Elizabeth,58,37,,
2013,basketball,girls,Overall,St. Elizabeth,Tom Ferrier,Caravel,60,46,,
2012,basketball,girls,Overall,Ursuline,John Noonan,Sanford,49,29,,
2011,basketball,girls,Overall,Sanford,Marcus Thompson,Cape Henlopen,47,41,,
2010,basketball,girls,Overall,Sanford,Marcus Thompson,Smyrna,51,36,,
2009,basketball,girls,Overall,Delcastle,Thom Quann,Middletown,70,55,,
2008,basketball,girls,Overall,Ursuline,Fran Burbidge,St. Elizabeth,47,33,,
2007,basketball,girls,Overall,St. Elizabeth,Tom Ferrier,Ursuline,55,45,,
2006,basketball,girls,Overall,Ursuline,Sheila DiNardo,St. Elizabeth,68,51,,
2005,basketball,girls,Overall,Ursuline,Sheila DiNardo,St. Elizabeth,68,51,,
2004,basketball,girls,Overall,Ursuline,Steve Johnson,Seaford,46,39,,
2003,basketball,girls,Overall,Polytech,John O'Connor,Seaford,57,46,,
2002,basketball,girls,Overall,Saint Mark's,John Fiorelli,A.I. du Pont,52,30,,
2001,basketball,girls,Overall,Saint Mark's,John Fiorelli,Ursuline,36,34,,
2000,basketball,girls,Overall,Saint Mark's,John Fiorelli,Glasgow,43,26,,
1999,basketball,girls,Overall,Padua,John Armstrong,Ursuline,52,33,,
1998,basketball,girls,Overall,William Penn,Chuck Bartels,St. Elizabeth,45,40,,
1997,basketball,girls,Overall,Saint Mark's,John Fiorelli,William Penn,38,34,,
1996,basketball,girls,Overall,Saint Mark's,John Fiorelli,Ursuline,44,33,,
1995,basketball,girls,Overall,Ursuline,Joe Pennell,Sussex Central,50,41,,
1994,basketball,girls,Overall,Sanford,David Brooker,Ursuline,57,46,,
1993,basketball,girls,Overall,William Penn,George Chellew,Padua,53,37,,
1992,basketball,girls,Overall,Ursuline,Joe Pennell,Sanford,55,50,,
1991,basketball,girls,Overall,Saint Mark's,John Fiorelli,Ursuline,31,29,,
1990,basketball,girls,Overall,Ursuline,Ed Capodanno,Padua,45,44,OT,
1989,basketball,girls,Overall,Ursuline,Ed Capodanno,St. Elizabeth,77,31,,
1988,basketball,girls,Overall,Ursuline,Ed Capodanno,St. Elizabeth,41,40,,
1987,basketball,girls,Overall,Ursuline,Lou DiMascio,St. Elizabeth,39,34,OT,
1986,basketball,girls,Overall,Ursuline,Lou DiMascio,St. Elizabeth,48,33,,
