year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2017,soccer,girls,Division I,Middletown,Brian Derrickson,Padua,1,0,,
2016,soccer,girls,Division I,Padua,Joe Brown,Caesar Rodney,4,1,,
2015,soccer,girls,Division I,Padua,Joe Brown,Caesar Rodney,3,1,,
2014,soccer,girls,Division I,Padua,Joe Brown,Caesar Rodney,3,1,,
2025,soccer,girls,Division II,Caravel,Mary-Kate Rhoades,Saint Mark's,1,0,OT,
2024,soccer,girls,Division II,Caravel,Nick Musacchio,Ursuline,3,1,,
2023,soccer,girls,Division II,Archmere,Kyle Bardeer,Caravel,6,1,,
2022,soccer,girls,Division II,Saint Mark's,Dan Swasey,Caravel,2,1,,
2021,soccer,girls,Division II,Caravel,Lance Berry,Saint Mark's,3,2,,
2020,soccer,girls,Division II,,,,,,,
2019,soccer,girls,Division II,Caravel,Tom Brackin,Tower Hill,4,1,,
2018,soccer,girls,Division II,DMA,Wayne Cox,Tower Hill,1,0,OT,
2017,soccer,girls,Division II,Caravel,Tom Brackin,Tower Hill,2,1,,
2016,soccer,girls,Division II,Caravel,Tom Brackin,Indian River,2,0,,
2015,soccer,girls,Division II,Caravel,Tom Brackin,Indian River,3,1,,
2014,soccer,girls,Division II,Caravel,Tom Brackin,Archmere,2,1,,
2013,soccer,girls,Overall,Padua,Joe Brown,Charter of Wilmington,1,0,PKs,
2012,soccer,girls,Overall,Padua,Joe Brown,Caesar Rodney,2,1,2 OT,
2011,soccer,girls,Overall,A.I. du Pont,Megan O'Donnell,Charter of Wilmington,2,0,,
2010,soccer,girls,Overall,Tower Hill,Garry Chandler,Caesar Rodney,1,0,,
2009,soccer,girls,Overall,Padua,Scott Smith,Ursuline,6,0,,
2008,soccer,girls,Overall,Saint Mark's,Dan Swasey,Padua,2,0,OT,
2007,soccer,girls,Overall,Padua,Scott Smith,Caesar Rodney,3,0,,
2006,soccer,girls,Overall,Padua,Scott Smith,Saint Mark's,1,0,,
2005,soccer,girls,Overall,Charter of Wilmington,Pete Fokas,Saint Mark's,1,0,,
2004,soccer,girls,Overall,A.I. du Pont,Scott Emert,Archmere,2,1,,
2003,soccer,girls,Overall,Saint Mark's,Tom DeMatteis,Newark,3,1,,
2002,soccer,girls,Overall,Saint Mark's,Tom DeMatteis,Charter of Wilmington,5,0,,
2001,soccer,girls,Overall,Saint Mark's,Tom DeMatteis,A.I. du Pont,3,0,,
2000,soccer,girls,Overall,Saint Mark's,Tom DeMatteis,A.I. du Pont,3,2,,
1999,soccer,girls,Overall,A.I. du Pont,Fran Kulas,Saint Mark's,2,1,OT,
1998,soccer,girls,Overall,A.I. du Pont,Mike McFarland,Ursuline,5,0,,
1997,soccer,girls,Overall,A.I. du Pont,Mike McFarland,Newark,4,3,8 OT,
1996,soccer,girls,Overall,A.I. du Pont,Mike Kleinart,Sanford,2,0,,
1995,soccer,girls,Overall,Dickinson,Glenn Graef,Saint Mark's,4,1,,
2025,field hockey,girls,Division I,Smyrna,Loveita Moffett,Cape Henlopen,1,0,2 OT,
2024,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Smyrna,2,1,,
2023,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Smyrna,1,0,,
2022,field hockey,girls,Division I,Smyrna,Loveita Moffett,Cape Henlopen,2,1,OT,
2021,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Smyrna,4,0,,
2020,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Polytech,3,0,,
2019,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Padua,2,0,,
2018,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Padua,5,0,,
2017,field hockey,girls,Division I,Cape Henlopen,Kate Austin,Sussex Tech,1,0,,
2025,field hockey,girls,Division II,Wilmington Friends,Scott Clothier,Newark Charter,2,0,,
2024,field hockey,girls,Division II,Delmar,Jodi Hollamon,Wilmington Friends,4,3,,
2023,field hockey,girls,Division II,Delmar,Jodi Hollamon,Newark Charter,6,0,,
2022,field hockey,girls,Division II,Delmar,Jodi Hollamon,Archmere,7,1,,
2021,field hockey,girls,Division II,Delmar,Jodi Hollamon,Newark Charter,8,0,,
2020,field hockey,girls,Division II,Delmar,Jodi Hollamon,Caravel,4,1,,
2019,field hockey,girls,Division II,Delmar,Jodi Hollamon,Indian River,6,3,,
2018,field hockey,girls,Division II,Delmar,Jodi Hollamon,Caravel,5,0,,
2017,field hockey,girls,Division II,Delmar,Jodi Hollamon,Tower Hill,3,2,,
2016,field hockey,girls,Overall,Delmar,Jodi Hollamon,Tower Hill,3,0,,
2015,field hockey,girls,Overall,Cape Henlopen,Kate Austin,Delmar,3,1,,
2014,field hockey,girls,Overall,Cape Henlopen,Kate Austin,Polytech,3,1,,
2013,field hockey,girls,Overall,Cape Henlopen,Kate Austin,Delmar,1,0,,
2012,field hockey,girls,Overall,Cape Henlopen,Kate Austin,Delmar,2,1,,
2011,field hockey,girls,Overall,Cape Henlopen,Nicole Cantanzaro,Delmar,3,2,,
2010,field hockey,girls,Overall,Sussex Tech,Nancy Tribbitt,Tower Hill,3,1,,
2009,field hockey,girls,Overall,Sussex Tech,Nancy Tribbitt,Tower Hill,3,2,,
2008,field hockey,girls,Overall,Tower Hill,Robin Adair,Brandywine,2,0,,
2007,field hockey,girls,Overall,Tower Hill,Robin Adair,Brandywine,3,0,,
2006,field hockey,girls,Overall,Tower Hill,Robin Adair,William Penn,2,0,,
2005,field hockey,girls,Overall,Tower Hill,Robin Adair,Saint Mark's,2,1,,
2004,field hockey,girls,Overall,Caesar Rodney,Debbie Windett,Cape Henlopen,3,0,,
2003,field hockey,girls,Overall,Tower Hill,Robin Adair,Caravel,2,0,,
2002,field hockey,girls,Overall,Tower Hill,Robin Adair,Delmar,3,1,,
2001,field hockey,girls,Overall,Tower Hill,Robin Adair,Saint Mark's,3,1,,
2000,field hockey,girls,Overall,Tower Hill,Robin Adair,Cape Henlopen,2,1,OT,
1999,field hockey,girls,Overall,Wilmington Christian,Pam Love,William Penn,3,0,,
1998,field hockey,girls,Overall,Tower Hill,Robin Adair,Wilmington Christian,3,2,,
1997,field hockey,girls,Overall,Tower Hill,Robin Adair,William Penn,3,0,,
1996,field hockey,girls,Overall,Milford,Jan Ellis,Tower Hill,2,1,,
1995,field hockey,girls,Overall,Cape Henlopen,Ruth Skogland,Tower Hill,3,2,,
1994,field hockey,girls,Overall,William Penn,Rosemary Bianchini,Tower Hill,1,0,,
1993,field hockey,girls,Overall,Tower Hill,Pam Matsanka,Concord,1,0,,
1992,field hockey,girls,Overall,Tower Hill,Pam Matsanka,Archmere,2,0,,
1991,field hockey,girls,Overall,Tower Hill,Pam Matsanka,William Penn,2,1,,
1990,field hockey,girls,Overall,Tower Hill,Pam Matsanka,Tatnall,2,1,,
1989,field hockey,girls,Overall,Concord,Sharyn Wingate,Tower Hill,2,1,4 OT,
1988,field hockey,girls,Overall,William Penn,Rosemary Bianchini,Tower Hill,2,1,4 OT,
1987,field hockey,girls,Overall,Brandywine,Willy Miranda,Tatnall,3,0,,
1986,field hockey,girls,Overall,Wilmington Friends,Ellen Millick,Tower Hill,3,0,,
1985,field hockey,girls,Overall,Wilmington Friends,Ellen Millick,Seaford,1,0,,
1984,field hockey,girls,Overall,Tatnall,Anita Marcial,Seaford,1,0,,
1983,field hockey,girls,Overall,Wilmington Friends,Ellen Millick,Brandywine,1,0,,
1982,field hockey,girls,Overall,Tower Hill,Betty Richardson,Cape Henlopen,3,2,,
1981,field hockey,girls,Overall,Tower Hill,Betty Richardson,William Penn,1,0,,
1980,field hockey,girls,Overall,Tower Hill,Betty Richardson,Saint Mark's,2,0,,
1979,field hockey,girls,Overall,Cape Henlopen,Carolyn Ivins,Laurel,2,0,,
1978,field hockey,girls,Overall,Concord,Sharyn Wingate,Cape Henlopen,2,1,,
1977,field hockey,girls,Overall,Dickinson,Roberta Poole,Brandywine,2,0,,
1976,field hockey,girls,Overall,A.I. du Pont,Karen Kohn,Tatnall,XXX,XXX,,
1975,field hockey,girls,Overall,A.I. du Pont,Karen Kohn,Concord,1,0,,
1974,field hockey,girls,Overall,Concord,Linda Wilson,Brandywine,2,1,,
1973,field hockey,girls,Overall,Tower Hill,Betty Richardson,XXX,XXX,XXX,,
2025,volleyball,girls,Overall,Tower Hill,Michael Sachs,Saint Mark's,3,0,,
2024,volleyball,girls,Overall,Tower Hill,Michael Sachs,Saint Mark's,3,0,,
2023,volleyball,girls,Overall,Smyrna,Danny Wandless,Ursuline,3,1,,
2022,volleyball,girls,Overall,Tower Hill,Michael Sachs,Saint Mark's,3,0,,
2021,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Padua,3,0,,
2020,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Padua,3,0,,
2019,volleyball,girls,Overall,Padua,Lauren DiSabatino,Saint Mark's,3,0,,
2018,volleyball,girls,Overall,Charter of Wilmington,Dave Stover,Archmere,3,0,,
2017,volleyball,girls,Overall,Ursuline,Sue Heiss,Padua,3,2,,
2016,volleyball,girls,Overall,DMA,Sydney Cook,Ursuline,3,2,,
2015,volleyball,girls,Overall,DMA,John Grossman,Archmere,3,1,,
2014,volleyball,girls,Overall,Archmere,MaryPat Kwoka,Charter of Wilmington,3,1,,
2013,volleyball,girls,Overall,Padua,Lauren DiSabatino,Tower Hill,3,0,,
2012,volleyball,girls,Overall,Padua,Lauren DiSabatino,Ursuline,3,2,,
2011,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Archmere,3,0,,
2010,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Ursuline,3,2,,
2009,volleyball,girls,Overall,Ursuline,Sue Heiss,Padua,3,1,,
2008,volleyball,girls,Overall,Ursuline,Sue Heiss,Archmere,3,0,,
2007,volleyball,girls,Overall,Ursuline,Sue Heiss,Saint Mark's,3,1,,
2006,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Ursuline,3,1,,
2005,volleyball,girls,Overall,Ursuline,Sue Heiss,Padua,3,1,,
2004,volleyball,girls,Overall,Ursuline,Sue Heiss,Padua,3,1,,
2003,volleyball,girls,Overall,Ursuline,Sue Heiss,Padua,3,2,,
2002,volleyball,girls,Overall,Ursuline,Sue Heiss,St. Elizabeth,2,0,,
2001,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,St. Elizabeth,2,1,,
2000,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Ursuline,2,0,,
1999,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Ursuline,2,0,,
1998,volleyball,girls,Overall,Saint Mark's,Nancy Griskowitz,Archmere,2,0,,
1997,volleyball,girls,Overall,Ursuline,Sue Heiss,Saint Mark's,2,1,,
1996,volleyball,girls,Overall,Saint Mark's,Dave Stover,Christiana,2,0,,
1995,volleyball,girls,Overall,Saint Mark's,Dave Stover,Newark ,2,0,,
1994,volleyball,girls,Overall,Ursuline,Sue Heiss,Newark ,2,0,,
1993,volleyball,girls,Overall,Ursuline,Sue Heiss,Archmere,2,0,,
1992,volleyball,girls,Overall,Concord,Debbie Barrow,Christiana,2,1,,
1991,volleyball,girls,Overall,Ursuline,MaryPat Kwoka,Concord,2,0,,
1990,volleyball,girls,Overall,Newark,B.J. Apichella,Ursuline,2,1,,
1989,volleyball,girls,Overall,A.I. du Pont,Bill Yelsh,Archmere,2,0,,
1988,volleyball,girls,Overall,A.I. du Pont,Bill Yelsh,Archmere,2,0,,
1987,volleyball,girls,Overall,Archmere,John Walsh,A.I. du Pont,2,0,,
1986,volleyball,girls,Overall,Archmere,John Walsh,Saint Mark's,2,0,,
1985,volleyball,girls,Overall,Saint Mark's,Dave Stover,A.I. du Pont,2,1,,
1984,volleyball,girls,Overall,Newark,B.J. Apichella,A.I. du Pont,2,1,,
1983,volleyball,girls,Overall,Newark,B.J. Apichella,Christiana,2,0,,
1982,volleyball,girls,Overall,Newark,B.J. Apichella,A.I. du Pont,2,1,,
1981,volleyball,girls,Overall,Newark,B.J. Apichella,Concord,2,1,,
1980,volleyball,girls,Overall,A.I. du Pont,Bill Yelsh,Christiana,2,1,,
1979,volleyball,girls,Overall,Christiana,Julia Nunn,Dickinson,2,1,,
1978,volleyball,girls,Overall,Christiana,Jo Sydnor,Glasgow,2,1,,
1977,volleyball,girls,Overall,Christiana,Jo Sydnor,Saint Mark's,2,0,,
1976,volleyball,girls,Overall,Newark,B.J. Apichella,A.I. du Pont,2,1,,
1975,volleyball,girls,Overall,A.I. du Pont,Anita Marcial,Mount Pleasant,2,1,,
2025,football,boys,Class 3A,Middletown,Zach Blum,Salesianum,28,14,,
2024,football,boys,Class 3A,Middletown,Zach Blum,Salesianum,30,27,OT,
2023,football,boys,Class 3A,Salesianum,Gene Delle Donne,Cape Henlopen,45,17,,
2022,football,boys,Class 3A,Smyrna,Mike Judy,Dover,52,7,,
2021,football,boys,Class 3A,Middletown,Zach Blum,Smyrna,28,22,,
2025,football,boys,Class 2A,Red Lion Christian,Ken Anderson,Indian River,22,21,2 OT,
2024,football,boys,Class 2A,Caravel,John Reed,Howard,43,6,,
2023,football,boys,Class 2A,Caravel,John Reed,Archmere,35,13,,
2022,football,boys,Class 2A,Wilmington Friends,Rob Tattersall,Caravel,10,7,,
2021,football,boys,Class 2A,Archmere,John Bellace,Woodbridge,27,0,,
2025,football,boys,Class 1A,Seaford,Glenn Phillips,Newark Charter,21,20,OT,
2024,football,boys,Class 1A,Indian River,Phillip Townsend,Tatnall,47,45,,
2023,football,boys,Class 1A,Tatnall,Brendon Ireton,Charter of Wilmington,26,7,,
2022,football,boys,Class 1A,Laurel,Joey Jones,St. Elizabeth,28,13,,
2021,football,boys,Class 1A,Laurel,Joey Jones,St. Elizabeth,28,14,,
2020,football,boys,Division I,Sussex Central,John Wells,Middletown,28,19,,
2019,football,boys,Division I,Hodgson,Frank Moffett,Middletown,54,31,,
2018,football,boys,Division I,Sussex Central,John Wells,Salesianum,33,7,,
2017,football,boys,Division I,Smyrna,Mike Judy,Middletown,30,27,,
2016,football,boys,Division I,Smyrna,Mike Judy,Middletown,36,14,,
2015,football,boys,Division I,Smyrna,Mike Judy,Salesianum,32,26,,
2014,football,boys,Division I,William Penn,Marvin Dooley,Middletown,42,14,,
2013,football,boys,Division I,Salesianum,Bill DiNardo,Middletown,23,7,,
2012,football,boys,Division I,Middletown,Mark DelPercio,Salesianum,27,0,,
2011,football,boys,Division I,Middletown,Mark DelPercio,Newark,27,23,,
2010,football,boys,Division I,Saint Mark's,John Wilson,Middletown,37,25,,
2009,football,boys,Division I,Salesianum,Bill DiNardo,Saint Mark's,27,20,,
2008,football,boys,Division I,Caesar Rodney,Mike Schonewolf,Sussex Central,26,13,,
2007,football,boys,Division I,Middletown,Mark DelPercio,Sussex Central,26,22,,
2006,football,boys,Division I,Salesianum,Bill DiNardo,Sussex Central,34,17,,
2005,football,boys,Division I,Salesianum,Bill DiNardo,Newark,28,0,,
2004,football,boys,Division I,Newark,Butch Simpson,Middletown,14,0,,
2003,football,boys,Division I,Newark,Butch Simpson,Saint Mark's,28,21,2 OT,
2002,football,boys,Division I,William Penn,Bill Cole,Saint Mark's,34,13,,
2001,football,boys,Division I,Newark,Butch Simpson,Dover,28,24,,
2000,football,boys,Division I,Newark,Butch Simpson,Sussex Central,29,13,,
1999,football,boys,Division I,Newark,Butch Simpson,Saint Mark's,22,0,,
1998,football,boys,Division I,Newark,Butch Simpson,Caesar Rodney,22,6,,
1997,football,boys,Division I,Newark,Butch Simpson,William Penn,7,0,,
1996,football,boys,Division I,William Penn,Bruce Reynolds,Newark,26,6,,
1995,football,boys,Division I,William Penn,Bruce Reynolds,Newark,22,12,,
1994,football,boys,Division I,Christiana,Bill Muehleisen,Caesar Rodney,22,12,,
1993,football,boys,Division I,Salesianum,Jim Brazill,Seaford,14,6,,
1992,football,boys,Division I,William Penn,Bruce Reynolds,Salesianum,21,0,,
1991,football,boys,Division I,William Penn,Bruce Reynolds,Christiana,18,14,,
1990,football,boys,Division I,Caesar Rodney,Tom Leonard,Brandywine,21,6,,
1989,football,boys,Division I,Glasgow,Dave Scott,William Penn,22,20,OT,
1988,football,boys,Division I,Dover,Jim Oxford,Salesianum,20,13,OT,
1987,football,boys,Division I,William Penn,Bruce Reynolds,Salesianum,8,0,,
1986,football,boys,Division I,Salesianum,George Glenn,William Penn,7,6,,
1985,football,boys,Division I,Newark,Butch Simpson,Glasgow,25,10,,
1984,football,boys,Division I,Newark,Butch Simpson,Cape Henlopen,29,7,,
1983,football,boys,Division I,William Penn,Bruce Reynolds,Delcastle,24,7,,
1982,football,boys,Division I,William Penn,Bruce Reynolds,Cape Henlopen,35,14,,
1981,football,boys,Division I,Seaford,Ron Dickerson,William Penn,20,13,,
1980,football,boys,Division I,Dickinson,Marty Apostolico,Salesianum,26,7,,
1979,football,boys,Division I,Cape Henlopen,Jim Alderman,Caesar Rodney,37,6,,
1978,football,boys,Division I,Saint Mark's,Don Burawski,Cape Henlopen,20,6,,
1977,football,boys,Division I,Dover,Bob Cuthrell,Newark,18,6,,
1976,football,boys,Division I,Newark,Rocky Rees,Caesar Rodney,22,12,,
1975,football,boys,Division I,Caesar Rodney,Joe Purzycki,Newark,18,14,,
1974,football,boys,Overall,Saint Mark's,Don Burawski,Christiana,33,27,,
1973,football,boys,Overall,Saint Mark's,Don Burawski,Dickinson,23,7,,
1972,football,boys,Overall,Salesianum,Tom Olivadotti,Dickinson,21,6,,
1971,football,boys,Overall,Wilmington,Alex Sansoti,Middletown,13,6,,
2020,football,boys,Division II,Howard,Dan Ritter,Archmere,42,6,,
2019,football,boys,Division II,Howard,Dan Ritter,Woodbridge,16,15,,
2018,football,boys,Division II,Woodbridge,Ed Manlove,Wilmington Friends,33,9,,
2017,football,boys,Division II,Delmar,Dave Hearn,Milford,14,7,,
2016,football,boys,Division II,Woodbridge,Ed Manlove,Wilmington Friends,14,9,,
2015,football,boys,Division II,Howard,Dan Ritter,St. Georges,28,13,,
2014,football,boys,Division II,Hodgson,Frank Moffett,Laurel,42,0,,
2013,football,boys,Division II,Hodgson,Frank Moffett,St. Georges,38,0,,
2012,football,boys,Division II,Caravel,John Reed,Hodgson,39,29,,
2011,football,boys,Division II,Indian River,Ray Steele,Caravel,35,13,,
2010,football,boys,Division II,St. Elizabeth,Joe Hemphill,Archmere,35,0,,
2009,football,boys,Division II,Delmar,Dave Hearn,Hodgson,12,7,,
2008,football,boys,Division II,Milford,Mike Tkasch,Laurel,20,0,,
2007,football,boys,Division II,Hodgson,Frank Moffett,Caravel,24,16,,
2006,football,boys,Division II,Concord,George Kosanovich,Caravel,21,7,,
2005,football,boys,Division II,Caravel,Mike Aruanno,Concord,9,0,,
2004,football,boys,Division II,Concord,George Kosanovich,Caravel,9,7,,
2003,football,boys,Division II,Concord,George Kosanovich,Archmere,17,14,,
2002,football,boys,Division II,Delmar,Dave Hearn,Howard,35,6,,
2001,football,boys,Division II,Delmar,Dave Hearn,Middletown,36,7,,
2000,football,boys,Division II,Delmar,Dave Hearn,St. Elizabeth,41,34,,
1999,football,boys,Division II,Middletown,Bill DiNardo,St. Elizabeth,9,7,,
1998,football,boys,Division II,Middletown,Bill DiNardo,Archmere,28,7,,
1997,football,boys,Division II,Middletown,Bill DiNardo,Concord,40,6,,
1996,football,boys,Division II,St. Elizabeth,Joe Hemphill,Delmar,20,14,OT,
1995,football,boys,Division II,Lake Forest,Bill Eisenbrey,Delmar,26,7,,
1994,football,boys,Division II,St. Elizabeth,Joe Hemphill,Dickinson,42,20,,
1993,football,boys,Division II,Sussex Tech,John Parker,Middletown,27,14,,
1992,football,boys,Division II,Dickinson,Steve Lennox,Laurel,31,0,,
1991,football,boys,Division II,Laurel,Keith O'Neil,Indian River,29,2,,
1990,football,boys,Division II,Caravel,Larry Cylc,Dickinson,27,13,,
1989,football,boys,Division II,Caravel,Larry Cylc,Lake Forest,18,14,,
1988,football,boys,Division II,Indian River,Dale Steele,Dickinson,18,13,,
1987,football,boys,Division II,Laurel,Mike Norton,Archmere,7,2,,
1986,football,boys,Division II,Laurel,Mike Norton,Indian River,13,6,,
1985,football,boys,Division II,Delmar,Greg Wood,Laurel,6,0,OT,
1984,football,boys,Division II,Wilmington Friends,Bob Tattersall,Claymont,22,12,,
1983,football,boys,Division II,Seaford,Ron Dickerson,Archmere,40,12,,
1982,football,boys,Division II,Archmere,Bill Doyle,Seaford,21,12,,
1981,football,boys,Division II,Mount Pleasant,Dave Needs,Archmere,28,14,,
1980,football,boys,Division II,Archmere,Bill Doyle,Indian River,20,0,,
1979,football,boys,Division II,Archmere,Bill Doyle,Indian River,26,14,,
1978,football,boys,Division II,Middletown,Bill Billings,Archmere,26,8,,
1977,football,boys,Division II,Christiana,Tom Coder,Archmere,29,16,,
1976,football,boys,Division II,Delmar,Rick White,Archmere,20,14,,
1975,football,boys,Division II,Glasgow,Jim Pletcher,Smyrna,38,32,,
2025,soccer,boys,Division I,Salesianum,Scott Mosier,Caesar Rodney,3,0,,
2024,soccer,boys,Division I,Caesar Rodney,Dwayne Lavender,Salesianum,3,1,,
2023,soccer,boys,Division I,Salesianum,Scott Mosier,Cape Henlopen,4,2,,
2022,soccer,boys,Division I,Salesianum,Scott Mosier,Charter of Wilmington,4,1,,
2021,soccer,boys,Division I,Salesianum,Scott Mosier,Caesar Rodney,2,0,,
2020,soccer,boys,Division I,Appoquinimink,Adam Bear,Salesianum,2,1,4-3 PKs,
2019,soccer,boys,Division I,Salesianum,Scott Mosier,Caesar Rodney,7,0,,
2018,soccer,boys,Division I,Salesianum,Scott Mosier,Appoquinimink,3,2,,
2017,soccer,boys,Division I,Salesianum,Scott Mosier,Appoquinimink,2,1,,
2016,soccer,boys,Division I,Salesianum,Scott Mosier,Appoquinimink,2,0,,
2015,soccer,boys,Division I,Salesianum,Scott Mosier,Charter of Wilmington,2,0,,
2014,soccer,boys,Division I,Salesianum,Scott Mosier,Caesar Rodney,2,0,,
2013,soccer,boys,Division I,Salesianum,Scott Mosier,Appoquinimink,5,2,,
2025,soccer,boys,Division II,Saint Mark's,Dan Swasey,Sussex Academy,1,0,,
2024,soccer,boys,Division II,Sussex Academy,R.J. Dina,St. Andrew's,2,1,3-2 PKs,
2023,soccer,boys,Division II,Sussex Academy,R.J. Dina,Saint Mark's,2,1,5-4 PKs,
2022,soccer,boys,Division II,Caravel,Lance Berry,Saint Mark's,4,0,,
2021,soccer,boys,Division II,Caravel,Lance Berry,St. Andrew's,4,0,,
2020,soccer,boys,Division II,Indian River,Steve Kilby,Newark Charter,2,1,,
2019,soccer,boys,Division II,Archmere,Bob Bussiere,Wilmington Friends,1,0,,
2018,soccer,boys,Division II,Caravel,Kyle Ellis,Wilmington Friends,2,1,OT,
2017,soccer,boys,Division II,Caravel,Tom Brackin,Indian River,2,0,,
2016,soccer,boys,Division II,Tower Hill,Chris Aitken,Indian River,4,2,,
2015,soccer,boys,Division II,Indian River,Steve Kilby,Caravel,1,0,,
2014,soccer,boys,Division II,Caravel,Tom Brackin,Tower Hill,1,0,4-3 PKs,
2013,soccer,boys,Division II,Indian River,Steve Kilby,St. Elizabeth,3,0,,
2012,soccer,boys,Overall,Salesianum,Scott Mosier,Indian River,4,0,,
2011,soccer,boys,Overall,Salesianum,Scott Mosier,Indian River,3,2,2 OT,
2010,soccer,boys,Overall,Salesianum,Scott Mosier,Caravel,3,2,,
2009,soccer,boys,Overall,Caravel,Tom Wiley,Middletown,1,0,,
2008,soccer,boys,Overall,Salesianum,Scott Mosier,Middletown,1,0,,
2007,soccer,boys,Overall,Salesianum,Scott Mosier,Saint Mark's,1,0,,
2006,soccer,boys,Overall,Salesianum,Scott Mosier,Caravel,1,0,,
2005,soccer,boys,Overall,Salesianum,Scott Mosier,Tower Hill,4,2,,
2004,soccer,boys,Overall,Salesianum,Scott Mosier,Caesar Rodney,5,1,,
2003,soccer,boys,Overall,Tatnall,Bill Schluter,Saint Mark's,1,0,OT,
2002,soccer,boys,Overall,Salesianum,Scott Mosier,Saint Mark's,3,2,OT,
2001,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Glasgow,2,0,OT,
2000,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Charter of Wilmington,2,0,,
1999,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Salesianum,3,2,OT,
1998,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Glasgow,2,0,,
1997,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Caesar Rodney,3,1,,
1996,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Salesianum,1,0,OT,
1995,soccer,boys,Overall,Glasgow,Bob Bussiere,Salesianum,1,0,OT,
1994,soccer,boys,Overall,Caesar Rodney,Tim Finley,McKean,2,1,,
1993,soccer,boys,Overall,Salesianum,Tony Wolanski,Saint Mark's,1,0,7 OT,
1992,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Salesianum,2,1,,
1991,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Newark,2,0,,
1990,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Salesianum,2,0,,
1989,soccer,boys,Overall,Salesianum,Tony Wolanski,Saint Mark's,1,0,,
1988,soccer,boys,Overall,Tower Hill,Tom Cofran,Christiana,1,0,,
1987,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Brandywine,2,1,,
1986,soccer,boys,Overall,Saint Mark's,Tom DeMatteis,Salesianum,1,0,OT,
1985,soccer,boys,Overall,Tower Hill,Tom Cofran,Saint Mark's,3,2,,
1984,soccer,boys,Overall,McKean,John Berry,St. Andrew's,3,2,OT,
1983,soccer,boys,Overall,Salesianum,Tony Wolanski,Saint Mark's,3,2,,
1982,soccer,boys,Overall,Concord,Ken Horne,Salesianum,4,3,OT,
1981,soccer,boys,Overall,St. Andrew's,Tad Roach,Concord,3,0,OT,
1980,soccer,boys,Overall,Brandywine,Jeff Thompson,Concord,1,0,,
1979,soccer,boys,Overall,Brandywine,Jeff Thompson,Concord,3,1,,
1978,soccer,boys,Overall,Concord,Bob Gregore,Brandywine,1,0,,
1977,soccer,boys,Overall,Brandywine,Jeff Thompson,Concord,3,0,,
1976,soccer,boys,Overall,Concord,Bob Gregore,Dickinson,1,0,OT,
1975,soccer,boys,Overall,Brandywine,Ron Gilbert,Dickinson,1,0,,
1974,soccer,boys,Overall,Brandywine,Ron Gilbert,Concord,3,2,OT,
1973,soccer,boys,Overall,Christiana,Howard Gerken,Milford,2,0,,
1972,soccer,boys,Overall,Concord,Bob Gregore,Brandywine,4,0,,
1971,soccer,boys,Overall,Concord,Bob Gregore,Brandywine,1,0,,
1970,soccer,boys,Overall,Brandywine,Ron Gilbert,Concord,3,0,,
2025,cross country,boys,Division I,Cape Henlopen,Matt Lindell,Salesianum,42,73,,Killens Pond
2024,cross country,boys,Division I,Salesianum,Scott Davis,Cape Henlopen,56,59,,Killens Pond
2023,cross country,boys,Division I,Salesianum,Scott Davis,Caesar Rodney,33,36,,Brandywine Creek
2022,cross country,boys,Division I,Salesianum,Scott Davis,Middletown,37,41,,Killens Pond
2021,cross country,boys,Division I,Salesianum,Scott Davis,Cape Henlopen,56,72,,Brandywine Creek
2020,cross country,boys,Division I,Cape Henlopen,Matt Lindell,Salesianum,42,60,,Killens Pond
2019,cross country,boys,Division I,Charter of Wilmington,Rick Schuder,Salesianum,39,42,,Killens Pond
2018,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,19,63,,Brandywine Creek
2017,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,28,58,,Killens Pond
2016,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,40,106,,Brandywine Creek
